"id","codi_estacio","codi_variable","data_lectura","data_extrem","valor_lectura","codi_estat","codi_base"
"X4510201090400","X4","51","2009-01-02T04:00:00.000",,"37","V","HO"
"X4400201090400","X4","40","2009-01-02T04:00:00.000","2009-01-02T04:00:00.000","12.1","V","HO"
"X4420201090400","X4","42","2009-01-02T04:00:00.000","2009-01-02T04:58:00.000","11.8","V","HO"
"X4440201090400","X4","44","2009-01-02T04:00:00.000","2009-01-02T04:05:00.000","73","V","HO"
"X4500201090400","X4","50","2009-01-02T04:00:00.000","2009-01-02T04:07:00.000","2.1","V","HO"
"X4360201090400","X4","36","2009-01-02T04:00:00.000",,"0","V","HO"
"X4320201090500","X4","32","2009-01-02T05:00:00.000",,"11.8","V","HO"
"X4330201090500","X4","33","2009-01-02T05:00:00.000",,"76","V","HO"
"X4510201090500","X4","51","2009-01-02T05:00:00.000",,"195","V","HO"
"X4500201090500","X4","50","2009-01-02T05:00:00.000","2009-01-02T05:54:00.000","1.4","V","HO"
"X4440201090500","X4","44","2009-01-02T05:00:00.000","2009-01-02T05:00:00.000","74","V","HO"
"X4420201090500","X4","42","2009-01-02T05:00:00.000","2009-01-02T05:58:00.000","11.7","V","HO"
"X4400201090500","X4","40","2009-01-02T05:00:00.000","2009-01-02T05:11:00.000","11.9","V","HO"
"X4360201090500","X4","36","2009-01-02T05:00:00.000",,"0","V","HO"
"X4350201090500","X4","35","2009-01-02T05:00:00.000",,"0","V","HO"
"X4340201090500","X4","34","2009-01-02T05:00:00.000",,"1013","V","HO"
"X4320201090600","X4","32","2009-01-02T06:00:00.000",,"11.5","V","HO"
"X4330201090600","X4","33","2009-01-02T06:00:00.000",,"76","V","HO"
"X4340201090600","X4","34","2009-01-02T06:00:00.000",,"1014","V","HO"
"X4350201090600","X4","35","2009-01-02T06:00:00.000",,"0","V","HO"
"X4510201090600","X4","51","2009-01-02T06:00:00.000",,"76","V","HO"
"X4400201090600","X4","40","2009-01-02T06:00:00.000","2009-01-02T06:00:00.000","11.6","V","HO"
"X4420201090600","X4","42","2009-01-02T06:00:00.000","2009-01-02T06:52:00.000","11.4","V","HO"
